,Total,  Without children,  With children and adults,With only children,  Unknown household type
   Able to maintain the housing they had at project start--Without ,0,0,0,0,0
   Able to maintain the housing they had at ,0,0,0,0,0
   Able to maintain the housing they had at ,0,0,0,0,0
   Able to maintain the housing they had at ,0,0,0,0,0
   Moved to new housing unit--With ,0,0,0,0,0
  Moved to new housing unit--Without an on-going ,0,0,0,0,0
   Moved in with family/friends on a ,0,0,0,0,0
   Moved in with family/friends on a permanent basis,0,0,0,0,0
   Moved to a transitional or temporary housing ,0,0,0,0,0
   Client became homeless – moving to a shelter or other ,0,0,0,0,0
   Client went to jail/prison,0,0,0,0,0
   Client died,0,0,0,0,0
   Client doesn't know/Client refused,0,0,0,0,0
   Data not collected (no exit interview ,0,0,0,0,0
   Total,0,0,0,0,0
